index,Tweets
0,nice warm weather offensive
5,people claims changed mind keeps spreading russian narrative telegram
6,keeps pushing russian narrative
10,shows history twitter acocunt id links new old acocunt
11,account changed point previous version account
12,entire account dedicated debunking stuff
13,earlier retweeted post account proru cover proua accounts spreading lot misinformation pic tweet retweeted pic examples translated google lens wonky format
14,vatnik tears flowing storages it's funny start crying offensive actually started seeing shaping operation actual offensive seeing dedicated offensive units committed
18,opinion it's likely new capability
22,cords wrong cords pov
24,think lot targets hit area luhansk city coming weeks
25,tweeted yuvileine november luhansk city yuvileine functions large military base logistics hub
31,think music appropriate saturday morning
32,considering jesus dead tend agree
34,love tries correct goals playing ball
35,tried push nato borders came closer
38,ua allowed fire official range limited system fire km i'd day wont closer km russian lines probably stretching km
40,i'm offended going sleep
41,like kursk germans exhausted offensive potential push run way berlin
43,looking like battle kursk
47,yellow line ru line week ago
48,avdiivka inaccurate map spirne frontline russians forces control gas station
55,think increase strikes russian territory
56,crybar mistake red arrows pointing direction blue arrows
57,claimed adm found luhansk supposedly saturate ad know i'm sure long thread
58,ua forces poking ru defenses zaporizhzhia direction lately minor progress directions day thing looks like unusual russian targets geolocated lately area
62,initial reports it's poly pack plant
66,according ru rybar luhansk city hit claim cruise missile interesting luhansk functions large military base logistics hub
68,interesting tread wagner africa
70,i'm sure respond actually cant blocked sending message i'm sure waiting news telegram hit twitter best way news fast
74,definitely keeping s book mark
77,true goes old anti tank cannons
86,actually believe time watch shit like master chef
87,funny thing russians started winter offensive took weeks people notice
88,thread confirmation actually happening i'm enjoying increasing russian panic
89,feeling russian channels gone uncomfortable worrying
90,breakthrough armed forces ukraine area bogdanovka unfortunately successful units smes rf armed forces lost square kilometers
92,kots russian version jr
93,tanks armed forces ukraine kharkov bypass border russia
96,reported fighting border belgorod peoples republic morning
98,likely pretty heavy preparation ukraine ready start main effort
99,think it's likely seeing ua shaping operations force reaction russians find unlikely bakhmut direction main effort ua offensive
104,units ru rd army corps holding line area sw bakhmut rapidly trained personnel recruited summer losses replaced mobik regiments think it's likely azov eat breakfast
105,addition recent russian telegram reports ukrainian offensives soledar mayorsk area
106,there's starting slight uncomfortable feeling russian telegram channels days reports river crossing close velyka novosilka local counter attacks success bakhmut area
107,it's exiting there's minutes left master chef episode contenders panicking
108,i'm watching master chef minutes left
109,fucking love al bundy
110,sit enjoy wait panic
114,probably means managed start
117,click link find link google map grab kml
118,i'm gonna tell opsec
119,know manned nd line defense
123,alexei unfortunate accident traveling
130,it's happening it's happening
131,think replaced commander special operation
132,it's ok break law break
135,said wish ua high road don't use whataboutism argument
136,russia lot tanks parade today ukraine making funny noises
138,people shooting forget trash bin
141,start breaking international law don't shit like russians
143,true read definition mercenaries
145,think mean mercenaries russian considered mercenaries
147,called taking high road
148,kind immoral pose pows like violation geneva convention kind ukrainian soldiers high road
149,think it's giving wrong idea content
153,need start arming ukrainian brigades brigades number brigades forming provided equipment want ready fall offensive equipment need start coming
154,watch consider donating use money equip soldiers equipment need don't want donate profile retweet videos
156,video important high quality tourniquets save lives lately working hard spread information important quality equipment
160,image reference image ofc shipped ukraine finnish markings source
161,isn't tell it's widely spread russian channels need worry opsec it's late
163,complaint admin million subscribers i'm thinking late
164,video posted pro russian channel million subscribers yesterday think it's worth ask equipment i'm sure gru capable identifying tanks
170,discussed yesterday guys discord conclusion leopard r clearing vehicles based bulky camera lack main gun
173,bad considering parade shorter putin's dick
174,want details russiadefeated day parade
176,clear evidence tanks obsolete russia phasing
177,russia displayed tank today victory day parade
178,worry love looking russian tanks like nice album russian tanks
180,armored kamaz vehicles reserved parades lines troops use vehicles state art urban camouflage
181,what's victory day bingo card
185,attract bots single tweet result comments
187,possibly needs recover password
189,replies thread shows tweetdeck
191,thank fixing bot issue twatter twitter blue breaking api helped rid bots
192,look change fact trenches visible sentinel
193,decided right decided wrong hope
194,drop ground enemy ew
195,don't need man positions
196,attack russians killed bunch civilians
197,good hear drone shortage
198,lot fortifications visible sentinel illustrated
199,reported drones average trips means need drones week drone operators probably dropping grenades probably fire correction etc
200,think great read danger high expectations rushing counter offensive
205,kind rust takes weeks burned
206,question russian aprilmay offensive ua fall offensive
208,traffic flowing car traffic hours friday morning iirc
212,kadyrovs shadow fucking sit
