,Tweets,cluster
0,nice warm weather offensive,1
1,people claims changed mind keeps spreading russian narrative telegram,1
2,keeps pushing russian narrative,1
3,shows history twitter acocunt id links new old acocunt,1
4,account changed point previous version account,1
5,entire account dedicated debunking stuff,1
6,earlier retweeted post account proru cover proua accounts spreading lot misinformation pic tweet retweeted pic examples translated google lens wonky format,1
7,vatnik tears flowing storages it's funny start crying offensive actually started seeing shaping operation actual offensive seeing dedicated offensive units committed,1
8,opinion it's likely new capability,1
9,cords wrong cords pov,1
10,think lot targets hit area luhansk city coming weeks,1
11,tweeted yuvileine november luhansk city yuvileine functions large military base logistics hub,1
12,think music appropriate saturday morning,1
13,considering jesus dead tend agree,1
14,love tries correct goals playing ball,1
15,tried push nato borders came closer,1
16,ua allowed fire official range limited system fire km i'd day wont closer km russian lines probably stretching km,1
17,i'm offended going sleep,1
18,like kursk germans exhausted offensive potential push run way berlin,1
19,looking like battle kursk,1
20,yellow line ru line week ago,1
21,avdiivka inaccurate map spirne frontline russians forces control gas station,1
22,think increase strikes russian territory,1
23,crybar mistake red arrows pointing direction blue arrows,1
24,claimed adm found luhansk supposedly saturate ad know i'm sure long thread,1
25,ua forces poking ru defenses zaporizhzhia direction lately minor progress directions day thing looks like unusual russian targets geolocated lately area,1
26,initial reports it's poly pack plant,1
27,according ru rybar luhansk city hit claim cruise missile interesting luhansk functions large military base logistics hub,1
28,interesting tread wagner africa,1
29,i'm sure respond actually cant blocked sending message i'm sure waiting news telegram hit twitter best way news fast,1
30,definitely keeping s book mark,1
31,true goes old anti tank cannons,1
32,actually believe time watch shit like master chef,1
33,funny thing russians started winter offensive took weeks people notice,1
34,thread confirmation actually happening i'm enjoying increasing russian panic,1
35,feeling russian channels gone uncomfortable worrying,1
36,breakthrough armed forces ukraine area bogdanovka unfortunately successful units smes rf armed forces lost square kilometers,1
37,kots russian version jr,1
38,tanks armed forces ukraine kharkov bypass border russia,0
39,reported fighting border belgorod peoples republic morning,1
40,likely pretty heavy preparation ukraine ready start main effort,1
41,think it's likely seeing ua shaping operations force reaction russians find unlikely bakhmut direction main effort ua offensive,1
42,units ru rd army corps holding line area sw bakhmut rapidly trained personnel recruited summer losses replaced mobik regiments think it's likely azov eat breakfast,1
43,addition recent russian telegram reports ukrainian offensives soledar mayorsk area,1
44,there's starting slight uncomfortable feeling russian telegram channels days reports river crossing close velyka novosilka local counter attacks success bakhmut area,1
45,it's exiting there's minutes left master chef episode contenders panicking,1
46,i'm watching master chef minutes left,1
47,fucking love al bundy,1
48,sit enjoy wait panic,1
49,probably means managed start,1
50,click link find link google map grab kml,1
51,i'm gonna tell opsec,1
52,know manned nd line defense,1
53,alexei unfortunate accident traveling,1
54,it's happening it's happening,1
55,think replaced commander special operation,1
56,it's ok break law break,1
57,said wish ua high road don't use whataboutism argument,1
58,russia lot tanks parade today ukraine making funny noises,0
59,people shooting forget trash bin,1
60,start breaking international law don't shit like russians,1
61,true read definition mercenaries,1
62,think mean mercenaries russian considered mercenaries,1
63,called taking high road,1
64,kind immoral pose pows like violation geneva convention kind ukrainian soldiers high road,1
65,think it's giving wrong idea content,1
66,need start arming ukrainian brigades brigades number brigades forming provided equipment want ready fall offensive equipment need start coming,1
67,watch consider donating use money equip soldiers equipment need don't want donate profile retweet videos,1
68,video important high quality tourniquets save lives lately working hard spread information important quality equipment,1
69,image reference image ofc shipped ukraine finnish markings source,1
70,isn't tell it's widely spread russian channels need worry opsec it's late,1
71,complaint admin million subscribers i'm thinking late,1
72,video posted pro russian channel million subscribers yesterday think it's worth ask equipment i'm sure gru capable identifying tanks,1
73,discussed yesterday guys discord conclusion leopard r clearing vehicles based bulky camera lack main gun,1
74,bad considering parade shorter putin's dick,1
75,want details russiadefeated day parade,1
76,clear evidence tanks obsolete russia phasing,1
77,russia displayed tank today victory day parade,1
78,worry love looking russian tanks like nice album russian tanks,1
79,armored kamaz vehicles reserved parades lines troops use vehicles state art urban camouflage,1
80,what's victory day bingo card,1
81,attract bots single tweet result comments,1
82,possibly needs recover password,1
83,replies thread shows tweetdeck,1
84,thank fixing bot issue twatter twitter blue breaking api helped rid bots,1
85,look change fact trenches visible sentinel,1
86,decided right decided wrong hope,1
87,drop ground enemy ew,1
88,don't need man positions,1
89,attack russians killed bunch civilians,1
90,good hear drone shortage,1
91,lot fortifications visible sentinel illustrated,1
92,reported drones average trips means need drones week drone operators probably dropping grenades probably fire correction etc,1
93,think great read danger high expectations rushing counter offensive,1
94,kind rust takes weeks burned,1
95,question russian aprilmay offensive ua fall offensive,1
96,traffic flowing car traffic hours friday morning iirc,1
97,kadyrovs shadow fucking sit,1
98,nuts seriously saying ukraine simferopol spring offensive,1
99,source video don don count,1
100,took long time i'm finally don,1
101,claim people wrong providing examples wrong i'm wrong time follow i'm waiting examples,1
102,believe little kremlins goals lot power struggle wagner ruaf,1
103,probably stand lately russian regular forces place ready push wagner feeding grinder pace regulated ammo supply,1
104,disagree bakhmut deprioritized think deprioritizing wagner order appear like ruaf regular units captured bakhmut like soledar,1
105,member goat bang gang offended,1
106,closed bit hours ago traffic running,1
107,bde bt och tgtrafik r igng,1
108,like stand window clears weapon,1
109,rate weapon handling skills scale don,1
110,sharing intel telling exactly russians time don't humint important,1
111,don't ukraine order ton commercial sat images,1
112,stuff time it's likely don't want people reporting positions close frontline announcements settlements close dnipro river kherson region kherson withdrawal,1
113,making joke guys bringing iq average,1
114,amazing idea putting bleeps cussing it's video dead guys worried people offended swearing,1
115,welcome twitter sir cunt,1
116,exactly justify entire war stopped nato,0
117,ok stop thinking it's helping,1
118,correct verifiable photo video evidence russian claim true,1
119,maskirovka right russian skills completely,1
120,lol translates camouflagecompletely unrelated,1
121,trick question read question think,1
122,tell golden rule know russian claim true,1
123,looks like it's month old probably weeks old,1
124,think need check eyes,1
125,man check tweet tb propeller blades,1
126,possibly hard points korsar tb,1
127,kind looks like propeller blades,1
128,especially korsar don't propeller blades,1
129,case don't know start saying opinion changed,1
130,im seeing days temperatures degrees that's chilly,1
131,lot rain foreseeable future favorable ukrainian offensive,1
132,increase long range strikes russian fuel depots likely preparations offensive i've previously said believe offensive start late mayearly june,1
133,lets sure hear video consider sponsoring hyfin vents help save ukrainian lives,1
134,don't know lot contenders,1
135,segment i'm talking english,1
136,people laugh russian claims times ridiculous it's russian strategy false claim aimed making doubt single information look min mark,1
137,drones cant decide it's russians ukraine,1
138,teeth like average russian soldier,1
139,i'm sure prosaruman surprise,1
140,hide naught appeaser corner,1
141,declare orc hunting season open,1
142,russian railways having bad week,1
143,yeah remember search arguments shit time i'm gonna waste time,1
144,it's pretty simple sit raft traveling flow river nose pointed direction travel left bank surprisingly left,1
145,it's bit unclear hope use bit clear language words like counter offensive picked lazy reporters start strange rumors,1
146,ukrainian counter offensive left bank dnipro text state claimed offensive legend wonder claiming seen claims isw,1
147,think need tap harder,1
148,months later it's alive,1
149,don't believe read internet,1
150,reproduces great idiot run z tard channel read,1
151,good thing glass intact,1
152,secret special military operation secret ukrainians notice,1
153,got news damage kramatorsk train station,1
154,thing tons munition thing tons explosives think like noticed,1
155,said hit tons ammo mean detonate,1
156,compare tianjin rated tons,1
157,says tons ammo exploded kramatorsk don't believe second people notices,1
158,lot i'm goin ask list things things wrong jsut dont agree lot,1
159,oh block engaging conversation,1
160,talk self chose handpicked information provided ua cheerleaders,1
161,manned rpgs mortars grenade launchers anti tank cannons etc,1
162,don't think trenches covered logs dirt help,1
163,russians know bombed covered,1
164,o know russians shoot area mined fortified positions shoot atgms,1
165,drive hole jobdo underestimate,1
166,wagner africa possibly tb drones,1
167,think it's requirement dont job,1
168,big job flex seal,1
